customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,ExpectedTotal,LeakageDiff,TenureGroup,ChargeGroup,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,MultipleLines_No phone service,MultipleLines_Yes,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes
5248-YGIJN,1,0,1,0,72,1,1,90.25,6369.45,0,6498.0,128.55000000000018,4-6 yr,Premium ($90+),False,False,False,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True
8773-HHUOZ,0,0,0,1,17,1,1,64.7,1093.1,1,1099.9,6.800000000000182,1-2 yr,Mid ($35-65),False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
3841-NFECX,0,1,1,0,71,1,1,96.35,6766.95,0,6840.849999999999,73.89999999999964,4-6 yr,Premium ($90+),True,False,False,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
4929-XIHVW,1,1,1,0,2,1,1,95.5,181.65,0,191.0,9.349999999999994,0-1 yr,Premium ($90+),True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True
6827-IEAUQ,0,0,1,1,27,1,0,66.15,1874.45,0,1786.0500000000002,88.39999999999986,2-4 yr,High ($65-90),False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False
7310-EGVHZ,1,0,0,0,1,1,0,20.2,20.2,0,20.2,0.0,0-1 yr,Low ($0-35),False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
3413-BMNZE,1,1,0,0,1,1,0,45.25,45.25,0,45.25,0.0,0-1 yr,Mid ($35-65),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6234-RAAPL,0,0,1,1,72,1,0,99.9,7251.7,0,7192.8,58.899999999999636,4-6 yr,Premium ($90+),True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False
6047-YHPVI,1,0,0,0,5,1,1,69.7,316.9,1,348.5,31.600000000000023,0-1 yr,High ($65-90),True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6572-ADKRS,0,0,0,0,46,1,1,74.8,3548.3,0,3440.7999999999997,107.50000000000045,2-4 yr,High ($65-90),True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
5380-WJKOV,1,0,0,0,34,1,1,106.35,3549.25,1,3615.8999999999996,66.64999999999964,2-4 yr,Premium ($90+),True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True
8168-UQWWF,0,0,0,0,11,1,1,97.85,1105.4,1,1076.35,29.050000000000182,0-1 yr,Premium ($90+),True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True
8865-TNMNX,1,0,1,1,10,1,0,49.55,475.7,0,495.5,19.80000000000001,0-1 yr,Mid ($35-65),False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
9489-DEDVP,0,0,1,1,70,1,1,69.2,4872.35,0,4844.0,28.350000000000364,4-6 yr,High ($65-90),False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False
9867-JCZSP,0,0,1,1,17,1,0,20.75,418.25,0,352.75,65.5,1-2 yr,Low ($0-35),False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False
4671-VJLCL,0,0,0,0,63,1,1,79.85,4861.45,0,5030.549999999999,169.09999999999945,4-6 yr,High ($65-90),False,False,False,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False
4080-IIARD,0,0,1,0,13,1,1,76.2,981.45,0,990.6,9.149999999999977,1-2 yr,High ($65-90),False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False
3714-NTNFO,0,0,0,0,49,1,1,84.5,3906.7,0,4140.5,233.80000000000018,4-6 yr,High ($65-90),True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
5948-UJZLF,1,0,0,0,2,1,0,49.25,97.0,0,98.5,1.5,0-1 yr,Mid ($35-65),False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
7760-OYPDY,0,0,0,0,2,1,1,80.65,144.15,1,161.3,17.150000000000006,0-1 yr,High ($65-90),True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
7639-LIAYI,1,0,0,0,52,1,1,79.75,4217.8,0,4147.0,70.80000000000018,4-6 yr,High ($65-90),False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True
2954-PIBKO,0,0,1,1,69,1,1,64.15,4254.1,0,4426.35,172.25,4-6 yr,Mid ($35-65),False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False
8012-SOUDQ,0,1,0,0,43,1,1,90.25,3838.75,0,3880.75,42.0,2-4 yr,Premium ($90+),True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
9420-LOJKX,0,0,0,0,15,1,1,99.1,1426.4,1,1486.5,60.09999999999991,1-2 yr,Premium ($90+),True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True
6575-SUVOI,0,1,1,0,25,1,1,69.5,1752.65,0,1737.5,15.150000000000091,2-4 yr,High ($65-90),False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False
7495-OOKFY,0,1,1,0,8,1,1,80.65,633.3,1,645.2,11.900000000000091,0-1 yr,High ($65-90),True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
4667-QONEA,0,1,1,1,60,1,1,74.85,4456.35,0,4491.0,34.649999999999636,4-6 yr,High ($65-90),False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True
1658-BYGOY,1,1,0,0,18,1,1,95.45,1752.55,1,1718.1000000000001,34.44999999999982,1-2 yr,Premium ($90+),True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
8769-KKTPH,0,0,1,1,63,1,1,99.65,6311.2,0,6277.950000000001,33.24999999999909,4-6 yr,Premium ($90+),True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True
5067-XJQFU,1,1,1,1,66,1,1,108.45,7076.35,0,7157.7,81.34999999999945,4-6 yr,Premium ($90+),True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True
3957-SQXML,0,0,1,1,34,1,0,24.95,894.3,0,848.3,46.0,2-4 yr,Low ($0-35),False,True,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False
5954-BDFSG,0,0,0,0,72,1,1,107.5,7853.7,0,7740.0,113.69999999999982,4-6 yr,Premium ($90+),True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True
0434-CSFON,0,0,1,0,47,1,1,100.5,4707.1,0,4723.5,16.399999999999636,2-4 yr,Premium ($90+),True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True
1215-FIGMP,1,0,0,0,60,1,1,89.9,5450.7,0,5394.0,56.69999999999982,4-6 yr,High ($65-90),True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
0526-SXDJP,1,0,1,0,72,0,0,42.1,2962.0,0,3031.2000000000003,69.20000000000027,4-6 yr,Mid ($35-65),False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False
0557-ASKVU,0,0,1,1,18,1,1,54.4,957.1,0,979.1999999999999,22.09999999999991,1-2 yr,Mid ($35-65),False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
5698-BQJOH,0,0,0,0,9,1,0,94.4,857.25,1,849.6,7.649999999999977,0-1 yr,Premium ($90+),True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
5122-CYFXA,0,0,0,0,3,1,1,75.3,244.1,0,225.89999999999998,18.200000000000017,0-1 yr,High ($65-90),False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True
8627-ZYGSZ,1,0,1,0,47,1,1,78.9,3650.35,0,3708.3,57.95000000000027,2-4 yr,High ($65-90),True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
3410-YOQBQ,0,0,0,0,31,1,0,79.2,2497.2,0,2455.2000000000003,41.999999999999545,2-4 yr,High ($65-90),False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True
3170-NMYVV,0,0,1,1,50,1,0,20.15,930.9,0,1007.4999999999999,76.59999999999991,4-6 yr,Low ($0-35),False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
7410-OIEDU,1,0,0,0,10,1,1,79.85,887.35,0,798.5,88.85000000000002,0-1 yr,High ($65-90),True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2273-QCKXA,1,0,0,0,1,1,0,49.05,49.05,0,49.05,0.0,0-1 yr,Mid ($35-65),False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0731-EBJQB,0,0,1,1,52,1,1,20.4,1090.65,0,1060.8,29.850000000000136,4-6 yr,Low ($0-35),False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
1891-QRQSA,1,1,1,1,64,1,1,111.6,7099.0,0,7142.4,43.399999999999636,4-6 yr,Premium ($90+),True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True
8028-PNXHQ,1,0,1,1,62,1,1,24.25,1424.6,0,1503.5,78.90000000000009,4-6 yr,Low ($0-35),False,True,False,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False
5630-AHZIL,0,0,0,1,3,1,1,64.5,177.4,0,193.5,16.099999999999994,0-1 yr,Mid ($35-65),False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
2673-CXQEU,0,1,0,0,56,1,0,110.5,6139.5,0,6188.0,48.5,4-6 yr,Premium ($90+),True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True
6416-JNVRK,0,0,0,0,46,1,0,55.65,2688.85,0,2559.9,128.94999999999982,2-4 yr,Mid ($35-65),False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5590-ZSKRV,0,0,1,1,8,1,0,54.65,482.25,0,437.2,45.05000000000001,0-1 yr,Mid ($35-65),False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False
0191-ZHSKZ,1,1,0,0,30,1,1,74.75,2111.3,0,2242.5,131.19999999999982,2-4 yr,High ($65-90),False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True
3887-PBQAO,0,0,1,1,45,1,1,25.9,1216.6,0,1165.5,51.09999999999991,2-4 yr,Low ($0-35),False,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False
5919-TMRGD,0,0,0,1,1,1,1,79.35,79.35,1,79.35,0.0,0-1 yr,High ($65-90),True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
8108-UXRQN,0,0,1,1,11,0,0,50.55,565.35,0,556.05,9.300000000000068,0-1 yr,Mid ($35-65),False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
9191-MYQKX,0,0,1,0,7,1,1,75.15,496.9,1,526.0500000000001,29.15000000000009,0-1 yr,High ($65-90),True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
9919-YLNNG,0,0,0,0,42,1,1,103.8,4327.5,0,4359.599999999999,32.099999999999454,2-4 yr,Premium ($90+),True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True
0318-ZOPWS,0,0,1,0,49,1,1,20.15,973.35,0,987.3499999999999,13.999999999999886,4-6 yr,Low ($0-35),False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
4445-ZJNMU,1,0,0,0,9,1,1,99.3,918.75,0,893.6999999999999,25.050000000000068,0-1 yr,Premium ($90+),True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
4808-YNLEU,0,0,1,0,35,1,1,62.15,2215.45,0,2175.25,40.19999999999982,2-4 yr,Mid ($35-65),False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1862-QRWPE,0,0,1,1,48,1,0,20.65,1057.0,0,991.1999999999999,65.80000000000007,2-4 yr,Low ($0-35),False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
2796-NNUFI,0,0,1,1,46,1,1,19.95,927.1,0,917.6999999999999,9.400000000000091,2-4 yr,Low ($0-35),False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False
3016-KSVCP,1,0,1,0,29,0,0,33.75,1009.25,0,978.75,30.5,2-4 yr,Low ($0-35),False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
4767-HZZHQ,1,0,1,1,30,1,0,82.05,2570.2,0,2461.5,108.69999999999982,2-4 yr,High ($65-90),True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
2424-WVHPL,1,1,0,0,1,1,0,74.7,74.7,0,74.7,0.0,0-1 yr,High ($65-90),True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
7233-PAHHL,1,0,1,1,66,1,1,84.0,5714.25,0,5544.0,170.25,4-6 yr,High ($65-90),False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True
6067-NGCEU,0,0,0,0,65,1,1,111.05,7107.0,0,7218.25,111.25,4-6 yr,Premium ($90+),True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True
9848-JQJTX,1,0,0,0,72,1,1,100.9,7459.05,0,7264.8,194.25,4-6 yr,Premium ($90+),True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True
8637-XJIVR,0,0,0,0,12,1,1,78.95,927.35,1,947.4000000000001,20.050000000000068,0-1 yr,High ($65-90),True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
9803-FTJCG,1,0,1,1,71,1,1,66.85,4748.7,0,4746.349999999999,2.350000000000364,4-6 yr,High ($65-90),False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False
0278-YXOOG,1,0,0,0,5,1,0,21.05,113.85,1,105.25,8.599999999999994,0-1 yr,Low ($0-35),False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False
3212-KXOCR,1,0,0,0,52,1,0,21.0,1107.2,0,1092.0,15.200000000000045,4-6 yr,Low ($0-35),False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
4598-XLKNJ,0,1,1,0,25,1,1,98.5,2514.5,1,2462.5,52.0,2-4 yr,Premium ($90+),True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True
6380-ARCEH,1,0,0,0,1,1,0,20.2,20.2,0,20.2,0.0,0-1 yr,Low ($0-35),False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False
3679-XASPY,0,0,1,1,1,1,0,19.45,19.45,0,19.45,0.0,0-1 yr,Low ($0-35),False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
7123-WQUHX,1,0,0,0,38,1,0,95.0,3605.6,0,3610.0,4.400000000000091,2-4 yr,Premium ($90+),True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False
5386-THSLQ,0,1,1,0,66,0,0,45.55,3027.25,0,3006.2999999999997,20.950000000000273,4-6 yr,Mid ($35-65),False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False
3192-NQECA,1,0,1,0,68,1,1,110.0,7611.85,1,7480.0,131.85000000000036,4-6 yr,Premium ($90+),True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True
6180-YBIQI,1,0,0,0,5,0,0,24.3,100.2,0,121.5,21.299999999999997,0-1 yr,Low ($0-35),False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
6728-DKUCO,0,0,1,1,72,1,1,104.15,7303.05,0,7498.8,195.75,4-6 yr,Premium ($90+),True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True
9750-BOOHV,0,0,0,0,32,0,0,30.15,927.65,0,964.8,37.14999999999998,2-4 yr,Low ($0-35),False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
8597-CWYHH,1,0,0,0,43,1,0,94.35,3921.3,0,4057.0499999999997,135.74999999999955,2-4 yr,Premium ($90+),True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2848-YXSMW,1,0,1,1,72,1,0,19.4,1363.25,0,1396.8,33.549999999999955,4-6 yr,Low ($0-35),False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
0486-HECZI,1,0,1,0,55,1,1,96.75,5238.9,1,5321.25,82.35000000000036,4-6 yr,Premium ($90+),True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False
4549-ZDQYY,0,0,0,0,52,1,0,57.95,3042.25,0,3013.4,28.84999999999991,4-6 yr,Mid ($35-65),False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
5712-AHQNN,0,0,0,0,43,1,1,91.65,3954.1,0,3940.9500000000003,13.149999999999636,2-4 yr,Premium ($90+),True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
4846-WHAFZ,0,1,1,0,37,1,1,76.5,2868.15,1,2830.5,37.65000000000009,2-4 yr,High ($65-90),True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
5256-SKJGO,0,0,1,1,64,0,1,54.6,3423.5,0,3494.4,70.90000000000009,4-6 yr,Mid ($35-65),False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True
3071-VBYPO,1,0,1,1,3,1,0,89.85,248.4,0,269.54999999999995,21.14999999999995,0-1 yr,High ($65-90),True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
9560-BBZXK,0,0,0,0,36,0,0,31.05,1126.35,0,1117.8,8.549999999999955,2-4 yr,Low ($0-35),False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
5299-RULOA,0,0,1,1,10,1,1,100.25,1064.65,1,1002.5,62.15000000000009,0-1 yr,Premium ($90+),True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True
8402-OOOHJ,0,0,0,0,41,1,0,20.65,835.15,0,846.65,11.5,2-4 yr,Low ($0-35),False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False
9445-ZUEQE,1,0,1,1,27,1,1,85.2,2151.6,0,2300.4,148.80000000000018,2-4 yr,High ($65-90),True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
1091-SOZGA,0,0,1,1,56,1,1,99.8,5515.45,0,5588.8,73.35000000000036,4-6 yr,Premium ($90+),True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True
2928-HLDBA,0,0,0,0,6,1,0,20.7,112.75,0,124.19999999999999,11.449999999999989,0-1 yr,Low ($0-35),False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False
0404-SWRVG,1,0,0,0,3,1,1,74.4,229.55,1,223.20000000000002,6.349999999999994,0-1 yr,High ($65-90),True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
6497-TILVL,0,0,1,1,7,1,0,50.7,350.35,0,354.90000000000003,4.550000000000011,0-1 yr,Mid ($35-65),False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
7219-TLZHO,0,0,1,1,4,1,0,20.85,62.9,0,83.4,20.500000000000007,0-1 yr,Low ($0-35),False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False
4622-YNKIJ,1,0,0,0,33,1,1,88.95,3027.65,0,2935.35,92.30000000000018,2-4 yr,High ($65-90),True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
4412-YLTKF,0,1,0,0,27,1,1,78.05,2135.5,1,2107.35,28.15000000000009,2-4 yr,High ($65-90),True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
6734-PSBAW,1,0,1,0,72,1,1,23.55,1723.95,0,1695.6000000000001,28.34999999999991,4-6 yr,Low ($0-35),False,True,False,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False
